Date,Close,Open,High,Low,Volume,Change %,Vol.
8/22/2013,2303.93,2302.67,2329.14,2297.02,55340,-0.20%,55.34
8/23/2013,2286.93,2314.87,2321.04,2251.92,68970,-0.74%,68.97
8/26/2013,2335.62,2294.76,2336.38,2288.5,70370,2.13%,70.37
8/27/2013,2340.88,2332.8,2345.11,2322.46,65990,0.23%,65.99
8/28/2013,2328.06,2326.1,2345.36,2307.04,89260,-0.55%,89.26
8/29/2013,2318.31,2338.56,2342.32,2308.14,66090,-0.42%,66.09
8/30/2013,2313.91,2315.91,2334.41,2303.61,87660,-0.19%,87.66
9/2/2013,2320.34,2319.96,2329.87,2297.45,79510,0.28%,79.51
9/3/2013,2354.5,2326.23,2354.86,2321.3,80550,1.47%,80.55
9/4/2013,2350.7,2352.54,2360.66,2345.44,78730,-0.16%,78.73
9/5/2013,2341.74,2350.93,2351.22,2336.75,62950,-0.38%,62.95
9/6/2013,2357.78,2336.77,2361.18,2335.93,73340,0.68%,73.34
9/9/2013,2440.61,2374.26,2449.25,2372.69,149890,3.51%,149.89
9/10/2013,2474.89,2446.45,2475.2,2435.83,154860,1.40%,154.86
9/11/2013,2482.89,2483.79,2504.47,2471.62,166920,0.32%,166.92
9/12/2013,2507.45,2480.47,2527.38,2469.72,145170,0.99%,145.17
9/13/2013,2488.9,2502.54,2515.78,2481.45,110780,-0.74%,110.78
9/16/2013,2478.39,2501.08,2503.69,2467.13,105380,-0.42%,105.38
9/17/2013,2427.32,2480.81,2481.71,2426.46,99460,-2.06%,99.46
9/18/2013,2432.51,2426.04,2439.63,2407.24,71040,0.21%,71.04
9/23/2013,2472.29,2441.52,2473.16,2439.99,80130,1.64%,80.13
9/24/2013,2443.89,2470.72,2470.75,2420.09,97850,-1.15%,97.85
9/25/2013,2429.03,2440.84,2455.04,2423.28,90520,-0.61%,90.52
9/26/2013,2384.44,2422.63,2422.63,2382.53,86240,-1.84%,86.24
9/27/2013,2394.97,2382.22,2402.2,2379.86,65970,0.44%,65.97
9/30/2013,2409.04,2406.2,2415.07,2397.22,59510,0.59%,59.51
10/8/2013,2441.81,2406.41,2446.7,2392.57,84790,1.36%,84.79
10/9/2013,2453.58,2432.94,2453.75,2424.77,76280,0.48%,76.28
10/10/2013,2429.32,2455.64,2455.98,2422.02,90330,-0.99%,90.33
10/11/2013,2468.51,2442.36,2471.16,2439.63,93390,1.61%,93.39
10/14/2013,2472.54,2472.27,2483.13,2462.55,100080,0.16%,100.08
10/15/2013,2467.52,2475.32,2479.13,2449.42,89170,-0.20%,89.17
10/16/2013,2421.37,2459.08,2459.08,2409.72,88980,-1.87%,88.98
10/17/2013,2413.33,2432.64,2440.92,2407.78,71220,-0.33%,71.22
10/18/2013,2426.05,2415.12,2435.71,2410.6,60290,0.53%,60.29
10/21/2013,2471.32,2431.91,2472.78,2423.56,84910,1.87%,84.91
10/22/2013,2445.89,2470.26,2470.26,2439.86,90700,-1.03%,90.7
10/23/2013,2418.49,2451.56,2474.37,2412.48,91550,-1.12%,91.55
10/24/2013,2400.51,2412.24,2422.94,2395.47,64560,-0.74%,64.56
10/25/2013,2368.56,2400.52,2413.33,2353.99,77070,-1.33%,77.07
10/28/2013,2365.95,2372.57,2377.25,2351.86,62880,-0.11%,62.88
10/29/2013,2372.05,2369.22,2408.62,2327.9,106740,0.26%,106.74
10/30/2013,2407.47,2371.85,2407.85,2365.51,92180,1.49%,92.18
10/31/2013,2373.72,2398.39,2398.39,2370.23,82740,-1.40%,82.74
11/1/2013,2384.96,2373.96,2395.01,2365.15,63060,0.47%,63.06
11/4/2013,2380.45,2397.21,2404.9,2376.36,51800,-0.19%,51.8
11/5/2013,2383.77,2366.88,2385.69,2343.8,62080,0.14%,62.08
11/6/2013,2353.57,2371.32,2383.54,2352.79,63780,-1.27%,63.78
11/7/2013,2340.55,2351.87,2356.67,2328.25,54820,-0.55%,54.82
11/8/2013,2307.95,2329.08,2342.67,2306.04,53790,-1.39%,53.79
11/11/2013,2315.89,2305.94,2325.23,2295,45740,0.34%,45.74
11/12/2013,2340,2319.36,2342.53,2316.6,52690,1.04%,52.69
11/13/2013,2288.12,2325.36,2325.56,2287.55,59850,-2.22%,59.85
11/14/2013,2304.5,2291.27,2305.7,2279.01,57310,0.72%,57.31
11/15/2013,2350.73,2306.55,2377.21,2306.55,86390,2.01%,86.39
11/18/2013,2428.9,2367.88,2429.57,2361.04,110040,3.33%,110.04
11/19/2013,2412.16,2427.93,2427.93,2405.08,78650,-0.69%,78.65
11/20/2013,2424.85,2428.77,2435.43,2406.42,72290,0.53%,72.29
11/21/2013,2409.99,2412.45,2415.38,2382.88,87710,-0.61%,87.71
11/22/2013,2397.96,2415.29,2419,2393.58,75000,-0.50%,75
11/25/2013,2388.63,2385.78,2418.85,2380.69,66150,-0.39%,66.15
11/26/2013,2387.42,2387.83,2399.02,2380.41,59190,-0.05%,59.19
11/27/2013,2414.48,2386.36,2422.81,2383.78,75290,1.13%,75.29
11/28/2013,2439.53,2419.15,2460.56,2417.24,90660,1.04%,90.66
11/29/2013,2438.94,2442.68,2446.39,2432.39,61800,-0.02%,61.8
12/2/2013,2418.79,2423.97,2464.86,2397.01,119660,-0.83%,119.66
12/3/2013,2442.78,2410.69,2448.33,2406.66,74460,0.99%,74.46
12/4/2013,2475.14,2439.82,2486.64,2434.69,102650,1.32%,102.65
12/5/2013,2468.2,2476.45,2481.75,2460.58,77710,-0.28%,77.71
